item_id,manage_number
2717222,A0039687
2726538,A0042042
2726539,A0042043
2726540,A0042044
2726541,A0042045
2726542,A0042046
2726543,A0042047
2726544,A0042048
2726545,A0042049
2726546,A0042050
2726547,A0042051
2726548,A0042052
2734865,A0044217
2739858,A0045331
2740157,A0045427
2740159,A0045429
2741796,A0045722
2742236,A0045841
2742810,A0046002
2743619,A0046212
2743833,A0046245
2744437,A0046367
2746852,A0046962
2747338,A0047094
2748323,A0047293
2748615,A0047403
2748652,A0047440
2749684,A0047698
2750185,A0047803
2750443,A0047866
2752901,A0048495
2753967,A0048813
2754472,A0048946
2755395,A0049211
2757143,A0049599
2757555,A0049729
2761988,A0050953
2767499,A0052458
2774774,A0054518
2811537,A0064235
2834928,A0070549
2836179,A0070983
2836358,A0071016
2836434,A0071031
2836569,A0071080
2836981,A0071137
2837202,A0071169
2837715,A0071293
2837770,A0071301
2838118,A0071398
2838119,A0071399
2838153,A0071414
2838222,A0071418
2838623,A0071494
2839184,A0071625
2839185,A0071626
2839230,A0071630
2839241,A0071635
2839333,A0071653
2839807,A0071773
2839947,A0071815
2839984,A0071827
2840043,A0071838
2840172,A0071857
2840453,A0071920
2841087,A0072055
2841088,A0072056
2841090,A0072058
2841186,A0072070
2841187,A0072071
2841230,A0072092
2841533,A0072196
2841750,A0072292
2841858,A0072302
2842335,A0072463
2843195,A0072726
2843451,A0072791
2844294,A0072967
2844746,A0073057
2844761,A0073061
2844762,A0073062
2844974,A0073128
2844992,A0073136
2845249,A0073186
2845861,A0073405
2845993,A0073434
2846153,A0073468
2846415,A0073544
2846647,A0073621
2846669,A0073629
2846740,A0073639
2846797,A0073655
2847022,A0073753
2847126,A0073804
2847378,A0073859
2847771,A0073957
2847927,A0073997
2848775,A0074237
2849140,A0074307
2849311,A0074351
2849332,A0074358
2849474,A0074375
2849520,A0074386
2849564,A0074400
2849577,A0074410
2849578,A0074411
2849712,A0074450
2849872,A0074484
2849898,A0074499
2850001,A0074527
2850168,A0074567
2850226,A0074594
2850230,A0074595
2850472,A0074632
2850473,A0074633
2850525,A0074645
2850613,A0074686
2850620,A0074692
2850721,A0074735
2850899,A0074795
2850917,A0074806
2850919,A0074808
2850944,A0074817
2850982,A0074829
2850991,A0074835
2851077,A0074856
2851116,A0074867
2851122,A0074873
2851123,A0074874
2851210,A0074896
2851211,A0074897
2851304,A0074913
2851305,A0074914
2851429,A0074940
2851455,A0074955
2851456,A0074956
2851457,A0074957
2851658,A0074998
2851791,A0075023
2851816,A0075038
2851824,A0075043
2851836,A0075049
2851837,A0075050
2851840,A0075053
2851844,A0075057
2851845,A0075058
2851914,A0075094
2852033,A0075151
2852107,A0075184
2852133,A0075192
2852233,A0075222
2852255,A0075230
2852256,A0075231
2852296,A0075270
2852297,A0075271
2852345,A0075285
2852418,A0075305
2852436,A0075311
2852644,A0075352
2852730,A0075359
2852958,A0075412
2852959,A0075413
2853037,A0075421
2853038,A0075422
2853039,A0075423
2853040,A0075424
2853235,A0075458
2853237,A0075460
2853516,A0075512
2853522,A0075516
2853545,A0075529
2853679,A0075558
2853726,A0075581
2853745,A0075589
2853801,A0075607
2853859,A0075622
2853874,A0075626
2853875,A0075627
2853876,A0075628
2853948,A0075653
2854046,A0075685
2854073,A0075705
2854074,A0075706
2854075,A0075707
2854179,A0075779
2854192,A0075790
2854266,A0075841
2854267,A0075842
2854268,A0075843
2854269,A0075844
2854270,A0075845
2854271,A0075846
2854272,A0075847
2854273,A0075848
2854275,A0075850
2854276,A0075851
2854296,A0075871
2854298,A0075873
2854359,A0075891
2854488,A0075909
2854562,A0075927
2854582,A0075943
2854640,A0075954
2854841,A0076002
2854863,A0076006
2855004,A0076046
2855029,A0076053
2855033,A0076056
2855034,A0076057
2855036,A0076059
2855044,A0076063
2855067,A0076067
2855075,A0076070
2855076,A0076071
2855460,A0076152
2855473,A0076155
2855655,A0076191
2855656,A0076192
2855751,A0076224
2855970,A0076265
2856040,A0076287
2856123,A0076308
2856233,A0076354
2856234,A0076355
2856235,A0076356
2856336,A0076388
2856337,A0076389
2856360,A0076412
2856485,A0076472
2856486,A0076473
2856555,A0076487
2856677,A0076502
2856740,A0076534
2856846,A0076545
2856906,A0076560
2856995,A0076584
2857055,A0076605
2857059,A0076606
2857270,A0076652
2857452,A0076721
2857502,A0076739
2857634,A0076767
2857636,A0076769
2857698,A0076779
2857737,A0076785
2857769,A0076787
2857770,A0076788
2857817,A0076800
2857913,A0076852
2857939,A0076854
2858019,A0076859
2858020,A0076860
2858058,A0076874
2858075,A0076884
2858162,A0076910
2858476,A0076996
2858479,A0076999
2858592,A0077037
2858634,A0077045
2858640,A0077049
2858696,A0077071
2858787,A0077114
2858907,A0077148
2858908,A0077149
2858909,A0077150
2858988,A0077176
2858989,A0077177
2859045,A0077191
2859066,A0077197
2859075,A0077198
2859109,A0077202
2859135,A0077214
2859136,A0077215
2859139,A0077218
2859140,A0077219
2859199,A0077235
2859235,A0077252
2859260,A0077260
2859273,A0077268
2859460,A0077314
2859461,A0077315
2859474,A0077327
2859510,A0077341
2859627,A0077372
2859821,A0077416
2859992,A0077449
2860029,A0077456
2860075,A0077465
2860357,A0077531
2860392,A0077547
2860404,A0077549
2860405,A0077550
2860406,A0077551
2860469,A0077562
2860473,A0077566
2860576,A0077582
2860579,A0077585
2860807,A0077647
2860819,A0077655
2860846,A0077656
2860861,A0077657
2860893,A0077669
2860901,A0077674
2860905,A0077678
2860916,A0077681
2861012,A0077709
2861026,A0077716
2861090,A0077742
2861157,A0077761
2861204,A0077773
2861213,A0077778
2861277,A0077791
2861371,A0077816
2861373,A0077818
2861442,A0077843
2861520,A0077862
2861559,A0077879
2861687,A0077915
2861688,A0077916
2861689,A0077917
2861690,A0077918
2861746,A0077921
2861789,A0077928
2861793,A0077932
2861834,A0077946
2861889,A0077957
2861913,A0077968
2861936,A0077977
2861937,A0077978
2861938,A0077979
2861961,A0077987
2861990,A0077988
2861991,A0077989
2861995,A0077993
2861996,A0077994
2862177,A0078040
2862178,A0078041
2862179,A0078042
2862184,A0078044
2862203,A0078047
2862208,A0078051
2862298,A0078081
2862405,A0078146
2862406,A0078147
2862449,A0078162
2862453,A0078166
2862454,A0078167
2862455,A0078168
2862500,A0078198
2862503,A0078201
2862504,A0078202
2862853,A0078300
2862854,A0078301
2862987,A0078323
2862989,A0078325
2862991,A0078327
2862994,A0078329
2863065,A0078349
2863092,A0078354
2863240,A0078398
2863306,A0078435
2863459,A0078473
2863594,A0078488
2863818,A0078557
2863819,A0078558
2863843,A0078562
2863844,A0078563
2863845,A0078564
2863997,A0078609
2864044,A0078619
2864271,A0078675
2864272,A0078676
2864464,A0078722
2864604,A0078755
2864615,A0078759
2864619,A0078763
2864620,A0078764
2864635,A0078771
2864637,A0078773
2864664,A0078783
2864792,A0078819
2864793,A0078820
2864795,A0078822
2864837,A0078840
2864849,A0078845
2864850,A0078846
2864966,A0078882
2865079,A0078919
2865081,A0078921
2865082,A0078922
2865083,A0078923
2865152,A0078943
2865155,A0078944
2865260,A0078971
2865390,A0078988
2865407,A0078997
2865504,A0079022
2865521,A0079034
2865522,A0079035
2865604,A0079056
2865605,A0079057
2865606,A0079058
2865607,A0079059
2865608,A0079060
2865609,A0079061
2865610,A0079062
2865611,A0079063
2865612,A0079064
2865614,A0079066
2865615,A0079067
2865616,A0079068
2865617,A0079069
2865618,A0079070
2865623,A0079075
2865643,A0079087
2865676,A0079099
2865856,A0079175
2865859,A0079178
2865860,A0079179
2865861,A0079180
2865871,A0079181
2865894,A0079193
2865932,A0079206
2865933,A0079207
2866349,A0079285
2866360,A0079289
2866508,A0079302
2866544,A0079312
2866545,A0079313
2866546,A0079314
2866547,A0079315
2866549,A0079317
2866556,A0079321
2866620,A0079330
2866695,A0079344
2866781,A0079374
2866813,A0079390
2866998,A0079433
2867047,A0079453
2867096,A0079469
2867179,A0079493
2867200,A0079496
2867319,A0079510
2867376,A0079519
2867427,A0079525
2867440,A0079530
2867517,A0079548
2867709,A0079585
2867746,A0079593
2867753,A0079595
2867754,A0079596
2867917,A0079632
2868055,A0079663
2868056,A0079664
2868057,A0079665
2868083,A0079670
2868118,A0079674
2868224,A0079694
2868235,A0079700
2868332,A0079744
2868353,A0079751
2868449,A0079759
2868509,A0079780
2868635,A0079823
2868654,A0079826
2868732,A0079852
2869374,A0080052
2869388,A0080054
2869389,A0080055
2869434,A0080064
2869447,A0080075
2869492,A0080095
2869522,A0080106
2869649,A0080163
2869733,A0080220
2869754,A0080236
