item_id,manage_number
1658801,SD005852
1680022,WB019147
1682524,YF001222
1683444,NF006306
1683447,NF006309
1689424,PZ017429
1702987,CI022297
1703158,IB007623
1703618,TV005623
1703619,TV005624
1703620,TV005625
1703646,RV000413
1704880,DE011628
1706720,FU013881
1706721,FU013882
1709915,HT004615
1712450,RF001132
1712549,RF001139
1712580,WR001508
1715938,PZ017829
1719336,IA013479
1726848,IB007891
1728871,FP007408
1736325,SV003633
1739579,SD006628
1749878,AI000103
1755407,DE012157
1758544,AI000164
1759680,FH011098
1766606,RX000846
1766720,GL005964
1766837,RZ000764
1767168,YC002516
1768882,SD006944
1770625,GS011924
1774795,PI015832
1777531,HX007517
1780068,PI015892
1790087,WR002034
1794242,JD012598
1795089,YV001838
1796715,AG000426
1797744,YC002934
1797745,YC002935
1803671,AD000830
1808314,PF014900
1817976,YF002011
1820234,JY018878
1820359,GS012047
1820470,PP007496
1820994,OS010671
1821161,KO009092
1823900,RV001396
1826962,GS012139
1827082,RR001950
1828805,GT014979
1835634,JY019091
1835998,GT015035
1840244,IA014694
1840810,DD012640
1840811,DD012641
1840897,IA014703
1841603,ID010006
1841604,ID010007
1841605,ID010008
1842021,RT002316
1842023,RT002318
1842026,RT002321
1842028,RT002323
1842115,TU020068
1842275,UV003503
1842457,MC008042
1844177,YZ004458
1847017,NF007815
1847344,AY000272
1847345,AY000273
1847642,YB003506
1848294,WO003596
1848710,PZ019790
1852071,EL007337
1943252,CR016181
1982403,RP003590
2104293,XI000320
2122752,BW001399
2124141,EX009773
2157520,OZ011252
2159374,OS012334
2174909,NF010839
2207876,XW000037
2207877,XW000038
2395923,FH018678
2444119,WJ008059
2563002,HX016700
2591947,NP015647
2676979,GG012144
2714060,A0038882
2718136,IW015503
2720095,A0040493
2720714,XV004197
2741839,A0045729
2749749,YY004216
2760943,ID018608
2761265,ES010456
2761267,ES010458
2764418,IW016008
2786899,XO006323
2792820,XM004264
2795240,PX013250
2795241,PX013251
2795242,PX013252
2795243,PX013253
2795244,PX013254
2795245,PX013255
2795246,PX013256
2795247,PX013257
2795248,PX013258
2795249,PX013259
2800019,A0061286
2801175,A0061649
2801256,WB029836
2808582,RZ006699
2808583,RZ006700
2813023,BV007213
2813753,WA011182
2816953,TU033970
2822858,YA010287
2824177,A0067528
2827856,AI009781
2828519,AI009787
2828520,AI009788
2828521,AI009789
2829660,AW007523
2830551,A0069274
2830620,PG027069
2830836,YD011022
2830875,AD009684
2831019,XR005174
2831139,RZ006851
2831266,RV007969
2831267,RV007970
2831326,PG027082
2831497,A0069457
2831602,A0069474
2831845,YD011044
2832309,A0069665
2832437,BW007692
2832512,A0069747
2832514,A0069749
2832752,AD009736
2832754,AD009738
2832811,YY004848
2832812,YY004849
2832887,A0069859
2832920,FU026729
2832923,FU026732
2832925,FU026734
2832933,IY015555
2833112,XH006327
2833152,XH006328
2833254,YZ022512
2833255,YZ022513
2833256,YZ022514
2833257,YZ022515
2833258,YZ022516
2833368,A0070039
2833369,A0070040
2833452,RV008008
2833548,HZ016317
2833709,TU034259
2833797,AD009744
2833912,XH006346
2834055,A0070301
2834056,A0070302
2834446,YZ022541
2834448,YZ022543
2834468,CR022834
2834664,AW007536
2834665,YF009776
2834666,YF009777
2834744,FU026740
2834747,YZ022568
2834867,IW016696
2834907,XI005706
2834952,AC007197
2834953,AC007198
2835046,A0070580
2835242,A0070639
2835491,GM015530
2835705,A0070807
2836051,RX008828
2836075,A0070967
2836092,ID019185
2836100,FH022923
2836485,A0071044
2836967,RT011374
2837008,AW007550
2837059,A0071150
2837846,AH007758
2838997,A0071582
2839120,A0071612
2840232,YZ022659
2841438,A0072154
2841851,A0072300
2842176,OU006214
2842641,XH006390
2842643,XH006392
2843527,PG027250
2843792,XV005116
2843903,XH006427
2844404,YZ022729
2844405,YZ022730
2844915,A0073118
2845066,BY006687
2845205,XI005838
2845206,XI005839
2845568,A0073293
2845779,DE017229
2845781,A0073380
2846424,PG027315
2846456,PG027316
2847203,A0073823
2847286,EF017612
2847558,FU026878
2847894,BJ008315
2848147,TU034502
2848150,TU034505
2848152,TU034507
2848155,TU034509
2849243,VU007074
2849293,BY006747
2849298,AY005443
2849299,AY005444
2849300,AY005445
2849301,AY005446
2849302,AY005447
2849303,AY005448
2849304,AY005449
2849305,AY005450
2849521,A0074387
2849522,A0074388
2849685,ZZ001669
2849729,YZ022849
2849740,SU016005
2850028,VM006340
2850105,VM006346
2850294,A0074610
2850553,A0074662
2850554,A0074663
2850555,A0074664
2850559,A0074668
2850617,A0074689
2850618,A0074690
2850660,A0074714
2850786,A0074756
2850866,XB005484
2850974,A0074825
2850975,A0074826
2850976,A0074827
2851049,XI005876
2851129,VO004253
2851174,A0074889
2851297,A0074911
2851381,A0074929
2851439,MC016966
2851599,HX019436
2851604,A0074978
2851671,OU006316
2851711,XH006513
2851768,TU034566
2851769,TU034567
2851819,BV007535
2851826,A0075045
2852019,XH006519
2852066,PA020091
2852118,DJ013730
2852119,DJ013731
2852120,DJ013732
2852121,DJ013733
2852122,DJ013734
2852123,DJ013735
2852151,DJ013742
2852152,DJ013743
2852218,DU013917
2852220,DU013919
2852222,DU013921
2852313,FH023131
2852416,A0075303
2852417,A0075304
2852427,YZ022895
2852450,OU006326
2852451,OU006327
2852455,OU006331
2852456,OU006332
2852457,OU006333
2852481,DB016553
2852600,A0075341
2852652,RX008902
2852732,PG027401
2852752,EF017676
2852763,EF017677
2852764,EF017678
2852837,TU034594
2852864,HX019449
2852865,HX019450
2852870,IY015770
2852966,OU006349
2852967,OU006350
2853031,AC007354
2853032,AC007355
2853098,PI022262
2853260,XG005175
2853317,XB005509
2853350,FH023141
2853360,XP005332
2853395,PA020098
2853412,FU026931
2853518,FH023152
2853519,FH023153
2853547,A0075531
2853577,PG027430
2853619,A0075545
2853620,A0075546
2853669,RX008907
2853794,ID019292
2853795,ID019293
2853796,ID019294
2853797,ID019295
2853798,ID019296
2853799,ID019297
2853800,ID019298
2853851,XW003514
2853853,XW003516
2853861,TP011472
2853885,XJ005169
2853910,FN015824
2853913,VR004351
2853945,A0075650
2853946,A0075651
2854024,ID019318
2854025,ID019319
2854026,ID019320
2854081,A0075712
2854082,A0075713
2854083,A0075714
2854088,A0075719
2854155,YD011161
2854207,A0075800
2854208,A0075801
2854209,A0075802
2854210,A0075803
2854211,A0075804
2854213,A0075806
