item_id,manage_number
1647910,IU007408
1680030,UK002901
1680128,NP008083
1708375,MF004869
1713288,PZ017773
1728342,PZ018026
1729713,DE011906
1736121,SF011757
1737490,PI015485
1742637,CI022807
1749190,DE012079
1775396,EN006866
1780487,GN010866
1780945,RX000970
1786172,PX008638
1813629,OZ007981
1813630,OZ007982
1816622,GN011162
1850368,RF002057
1864218,TU020341
2044888,EX009140
2187955,FP012240
2207953,GJ016986
2561805,XV002417
2790175,A0058706
2802127,FU026181
2806073,PG026679
2832162,FH022837
2832163,FH022838
2834484,A0070438
2834486,A0070440
2834488,A0070442
2836399,XA006905
2836505,FU026775
2836506,FU026776
2837838,XO006748
2838883,XW003419
2839654,AX005989
2840388,YZ022675
2840389,YZ022676
2840390,YZ022677
2840752,BI005073
2840983,CR022864
2841191,A0072074
2842095,XB005427
2842096,XB005428
2842967,RV008082
2843552,PH018340
2843553,PH018341
2843700,A0072834
2843707,PH018349
2844266,XP005284
2844971,RZ006950
2845037,DJ013644
2845810,A0073387
2845811,A0073388
2845812,A0073389
2845910,A0073420
2845934,AH007811
2846066,AD009890
2846208,A0073482
2846292,BV007508
2846293,BV007509
2846567,XS004423
2846602,YZ022791
2846656,RX008871
2846856,A0073682
2847073,A0073776
2847088,ID019261
2847104,A0073790
2847106,A0073792
2847173,BY006731
2847299,A0073845
2847503,YY005016
2847504,YY005017
2847641,A0073907
2847991,WP009524
2848067,A0074024
2848124,A0074035
2848141,TU034496
2848142,TU034497
2848143,TU034498
2848144,TU034499
2848177,AI009986
2848181,AI009990
2848182,AI009991
2848270,BI005101
2848385,A0074120
2848635,WU004988
2848885,DJ013687
2848886,DJ013688
2848957,WB030198
2849031,BZ006868
2849032,BZ006869
2849212,AY005441
2849213,AY005442
2849219,YA010445
2849644,YA010451
2849645,YA010452
2849756,BY006751
2849773,RY011739
2850006,GN018630
2850147,VU007083
2850148,VU007084
2850238,DJ013705
2850310,VO004246
2850311,VO004247
2850462,WB030229
2850463,WB030230
2850484,WB030243
2850512,A0074641
2850615,A0074688
2850708,A0074728
2850855,PI022247
2850887,A0074792
2850888,A0074793
2850978,IW016831
2850979,IW016832
2850980,IW016833
2850981,A0074828
2851051,TW011845
2851055,VU007092
2851074,AY005480
2851131,IW016835
2851150,YZ022887
2851162,SD015327
2851163,SD015328
2851252,OU006294
2851253,OU006295
2851254,OU006296
2851255,OU006297
2851295,A0074909
2851331,GE016978
2851334,PY021175
2851659,A0074999
2851930,DJ013723
2852109,A0075186
2852282,A0075256
2852301,A0075275
2852478,DB016550
2852479,DB016551
2852521,A0075328
2852569,XA007042
2852845,TU034602
2853075,BU006789
2853146,AI010020
2853180,EF017683
2853487,A0075506
2853488,A0075507
2853525,PG027425
2853879,XJ005163
2853951,ID019307
2854084,A0075715
2854087,A0075718
2854089,A0075720
2854090,A0075721
2854091,A0075722
2854092,A0075723
2854093,A0075724
2854094,A0075725
2854095,A0075726
2854096,A0075727
2854236,A0075828
2854237,A0075829
2854239,A0075831
2854240,A0075832
2854244,A0075836
2854246,A0075838
2854289,A0075864
2854291,A0075866
2854293,A0075868
2854325,XP005340
2854337,FU026937
2854419,RG010231
2854768,RZ007026
2854897,BJ008408
2854898,BJ008409
2855059,YF009913
2855122,IW016892
2855163,BZ006872
2855504,WZ085975
2855505,WZ085976
2855506,WZ085977
2855507,WZ085978
2855527,PG027445
2855612,WZ086004
2855613,WZ086005
2855614,WZ086006
2855732,A0076206
2855733,A0076207
2855734,A0076208
2855735,A0076209
2855809,A0076234
2856005,A0076274
2856197,A0076340
2856632,PY021221
2856762,TM023778
2856806,AI010061
2857003,PA020107
2857008,EX013939
2857476,VX007018
2857477,VX007019
2857612,TM023799
2857726,YZ022980
2857932,MC017026
2858069,PG027478
2858490,OU006387
2858491,OU006388
2858528,EX013956
2858533,XM004794
2858580,WP009613
2858600,HX019483
2858689,YY005078
2858978,TW011924
2858979,TW011925
2859020,XO007024
2859021,XO007025
2859278,XO007044
2859307,XW003556
2859558,AI010108
2859629,HZ016413
2859877,A0077425
2859982,WA011439
2860020,NP017716
2860180,WB030319
2860487,FP018494
2860508,OU006422
2860511,OU006425
2860537,A0077573
2860538,A0077574
2860587,ID019398
2860657,YZ023030
2860900,A0077673
2860904,A0077677
2861048,IU015734
2861111,TM023831
2861140,A0077756
2861527,AY005564
2861583,XV005238
2861729,RU008649
2861952,XH006601
2862040,WB030345
2862180,A0078043
2862575,YE009319
2862611,AY005574
2862872,OU006492
2862873,OU006493
2862887,OU006497
2862902,DV017817
2863284,A0078432
2863304,RZ007075
2863308,A0078437
2863332,NU024775
2863341,A0078444
2863349,TU034755
2863350,TU034756
2863373,PY021262
2863563,XV005258
2863582,FN015909
2863583,FN015910
2863598,A0078492
2863627,YZ023075
2863740,WZ086053
2864139,ID019437
2864140,ID019438
2864141,ID019439
2864224,WZ086093
2864226,WZ086095
2864293,EX014015
2864428,A0078716
2864429,A0078717
2864431,TW011966
2864474,A0078723
2864498,FU027073
2864500,FU027075
2864668,XR005502
2864825,A0078836
2864826,A0078837
2864827,A0078838
2864978,A0078894
2864996,XH006636
2865016,OU006516
2865129,YZ023105
2865429,A0079000
2865979,EX014030
2866010,FU027114
2866011,FU027115
2866012,FU027116
2866066,DU013951
2866317,A0079273
2866318,A0079274
2866638,VO004318
2866844,RX008968
2866915,XH006681
2867026,TW011993
2867037,A0079443
2867061,GE017079
2867149,TW012001
2867274,WB030433
2867275,WB030434
2867276,WB030435
2867277,WB030436
2867278,WB030437
2867441,A0079531
2867453,IW016982
2867454,IW016983
2867455,IW016984
2867456,IW016985
2867458,IW016987
2867581,RT011724
2867582,RT011725
2867600,HX019607
2867729,BU006858
2867912,RY011895
2867942,AD010095
2868174,ZZ001709
2868231,FH023301
2868338,BW008028
2868451,A0079761
2868535,FU027152
2868637,FU027163
2868639,FU027165
2868643,FU027169
2868644,FU027170
2868645,FU027171
2868646,FU027172
2868647,FU027173
2868648,FU027174
2868696,FH023314
2868702,AD010099
2869373,A0080051
2869448,A0080076
2869449,A0080077
2869450,A0080078
2869451,A0080079
2869452,A0080080
2869453,A0080081
2869454,A0080082
2869455,A0080083
2869482,A0080085
2869486,A0080089
2869487,A0080090
2869489,A0080092
2869528,A0080112
2869771,XG005272
2869876,TW012034
2869947,RZ007090
2870037,VM006549
2870038,VM006550
2870258,ZZ001711
2870259,ZZ001712
2870372,A0080425
2870782,PG027631
2871017,A0080618
2871019,A0080620
2871020,A0080621
2871021,A0080622
2871022,A0080623
2871122,YZ023189
2871308,FN015964
2871309,VX007037
2871491,YV010083
2871538,A0080740
2871776,YF010044
2871823,PX013836
2871824,PX013837
2871856,WU005155
2871857,WU005156
2871961,XI006017
2872095,XP005420
2872167,A0080894
2872304,YC012220
2872756,FH023391
2872802,A0081098
2872839,YZ023237
2872849,YZ023247
2872852,YZ023250
2872856,YZ023254
2872991,FU027196
2873064,XH006720
2873193,YZ023275
2873302,XA007206
2873461,YZ023305
2873748,YZ023334
2873957,BW008065
2873958,BW008066
2874083,CR023027
2874084,CR023028
2874175,XA007212
2874467,IU015794
2874516,YD011339
2874595,TW012066
2874596,TW012067
2874637,A0081515
2874638,A0081516
2874854,A0081560
2874875,FP018613
2875021,A0081603
2875128,XH006741
2875157,EF017860
2875198,A0081628
2875306,A0081650
2875366,PO020256
2875404,WZ086116
2875408,WZ086120
2875573,TW012088
2875764,A0081768
2875824,TU034955
2876056,YZ023375
2876481,SD015429
2876734,A0082039
2876749,XH006771
2876750,XH006772
2876803,A0082060
2876951,TW012126
2877402,EF017906
2877403,EF017907
2877417,A0082299
2877448,VM006588
2877452,AD010130
2877453,EF017911
2877663,TU034974
2877664,TU034975
2877927,BW008099
2877988,DP005770
2877993,SD015455
2878176,FU027303
2878178,FU027305
2878179,FU027306
2878227,YD011391
2878229,YD011393
2878377,AW007780
2878614,XM004987
