item_id,manage_number
1678188,PI014808
1678189,PI014809
1682699,NF006290
1708381,PI015144
1718618,YC001944
1726416,UV002570
1815543,HZ008995
1817097,TM016002
1818339,GT014871
1826996,RR001936
1828337,YC003186
1834399,TM016200
1835590,SV004329
1844035,YE002772
1944341,GE011114
2035448,EX009069
2131400,VN000597
2175480,AY001825
2176632,PZ022752
2178290,JD015301
2181714,XH000519
2183057,VV001364
2183067,BU001914
2183069,BU001916
2358006,YE006217
2648079,A0024592
2653589,XT002048
2654749,FH021040
2714949,YE008410
2715624,TU032810
2716134,YA009549
2738278,FU025401
2740268,BZ006122
2741079,YP012115
2746605,A0046893
2763652,A0051306
2763873,AI008987
2764627,RV007633
2767539,XY006858
2767542,XY006859
2767572,XY006863
2767574,XY006864
2767604,XY006866
2768730,HX018702
2769042,NU024247
2769043,NU024248
2801720,YF009498
2836432,A0071029
2836433,A0071030
2836708,DV017669
2837000,AC007208
2837092,HX019331
2837245,XS004373
2837786,A0071302
2838375,A0071443
2838379,HZ016337
2838415,MC016796
2838625,NP017610
2838804,PZ028508
2838805,PZ028509
2839000,ID019225
2839089,BY006669
2839181,A0071622
2839182,A0071623
2839183,A0071624
2839271,AG008282
2839276,RT011403
2839973,A0071820
2840057,A0071840
2840105,SD015270
2840108,WB030107
2840582,EE012495
2840654,XO006810
2840711,RZ006924
2840717,GM015540
2840718,GM015541
2840719,GM015542
2841089,A0072057
2841243,A0072095
2841288,XO006839
2841289,XO006840
2841791,AW007559
2841792,AW007560
2841793,AW007561
2841794,AW007562
2841795,AW007563
2841880,VR004308
2841903,YY004956
2841984,GZ018479
2842103,EX013888
2842211,PZ028536
2842322,PA020047
2842567,VM006259
2842773,MC016826
2842774,MC016827
2842832,CR022874
2842833,CR022875
2842834,CR022876
2842926,CR022885
2843547,XM004621
2843548,XM004622
2843636,PX013638
2843915,RT011466
2844144,A0072926
2844441,FU026828
2844625,WB030136
2845494,MC016900
2845608,A0073320
2845609,A0073321
2845610,A0073322
2845611,A0073323
2845684,A0073351
2845967,XM004654
2846513,EX013907
2846588,RU008604
2846609,RU008605
2846610,RU008606
2846814,A0073661
2846882,HX019410
2847051,ID019250
2847052,ID019251
2847192,WA011365
2847269,A0073839
2847377,XO006899
2847468,YY005012
2847469,YY005013
2848049,XV005135
2848050,XV005136
2848362,IB015980
2848433,AD009916
2848715,YA010435
2849280,RG010223
2850412,WB030227
2850886,A0074791
2850918,A0074807
2851318,HX019430
2851921,A0075101
2851922,A0075102
2851982,GM015604
2851983,GM015605
2853806,A0075610
2853937,A0075647
2853989,AD009948
2854380,EN013847
2855003,YP013230
2855238,A0076108
2855240,A0076109
2855259,YY005066
2855465,YC012034
2855466,YC012035
2855528,AY005547
2855701,TU034652
2855729,FH023186
2855730,FH023187
2855731,FH023188
2855798,XM004746
2855971,XV005194
2856147,A0076316
2856610,XH006545
2856643,DP005587
2856714,OW007595
2856715,OW007596
2856772,RV008194
2857404,A0076696
2857405,A0076697
2857696,VO004291
2858196,A0076915
2858593,A0077038
2858594,A0077039
2858595,A0077040
2858879,XM004797
2859253,HX019493
2859254,HX019494
2859342,DJ013809
2859343,DJ013810
2859344,DJ013811
2859345,DJ013812
2859346,DJ013813
2859444,YC012101
2859445,YC012102
2859620,WP009615
2859628,A0077373
2859656,A0077376
2860001,A0077452
2860035,AD010016
2860197,A0077482
2860606,A0077594
2860666,XP005376
2860667,XP005377
2860899,A0077672
2862078,MC017062
2862322,A0078103
2862909,A0078312
2862993,RT011673
2863086,OU006499
2863094,VU007133
2863660,FN015913
2863661,FN015914
2863662,FN015915
2863663,FN015916
2863664,FN015917
2863694,DV017824
2863695,DV017825
2863696,DV017826
2863876,A0078581
2863877,A0078582
2863878,A0078583
2863879,A0078584
2863880,A0078585
2864111,RY011872
2864486,AG008428
2864487,AG008429
2864488,AG008430
2864489,AG008431
2864490,AG008432
2864491,AG008433
2864581,SU016105
2864616,A0078760
2864617,A0078761
2864618,A0078762
2864779,A0078815
2864838,A0078841
2864839,A0078842
2865182,AI010184
2865214,A0078951
2865394,A0078990
2865439,TU034775
2865640,YD011237
2865749,A0079116
2865955,AY005586
2866269,A0079267
2866270,A0079268
2866271,A0079269
2866272,A0079270
2866611,GZ018582
2866619,A0079329
2866621,A0079331
2866622,A0079332
2866623,A0079333
2866688,A0079341
2866916,YC012173
2866918,YC012174
2866980,AW007683
2867105,A0079474
2867155,YA010541
2867208,FU027126
2867249,BJ008483
2867657,XO007113
2867658,XO007114
2867703,A0079581
2867779,AI010234
2867984,WU005106
2868260,A0079712
2868261,A0079713
2868262,A0079714
2868488,BU006872
2869688,ID019501
2869757,A0080239
2869758,A0080240
2870199,YF010023
2870201,YF010025
2870648,YA010561
2870866,WB030481
2870867,WB030482
2871148,AG008480
2871149,AG008481
2871237,YC012208
2871255,A0080682
2871287,BU006885
2871288,BU006886
2871455,EF017842
2871741,A0080799
2871914,GM015710
2872343,A0080968
2872344,A0080969
2872550,DP005741
2872752,A0081081
2872754,A0081083
2873266,GE017124
2873659,YP013363
2874235,XT003072
2874367,PA020127
2874368,PA020128
2874806,A0081553
2874949,GZ018623
2874951,YP013392
2874952,YP013393
2874953,YP013394
2875014,KJ015328
2875057,WU005176
2875144,AW007723
2875145,AW007724
2875358,RY011924
2875989,YD011364
2876285,AG008499
2876434,XW003714
2876435,XW003715
2876436,XW003716
2876503,A0081960
2876589,TW012117
2876590,TW012118
2876696,YZ023377
2876804,A0082061
2876839,WB030534
2876840,WB030535
2876841,WB030536
2876843,WB030538
2876861,CR023036
2876865,AX006121
2876866,AX006122
2877014,EF017896
2877095,A0082171
2877096,A0082172
2877097,A0082173
2877263,AI010341
2877370,GM015728
2877569,XM004969
2877583,A0082329
2878259,AW007765
2878286,A0082537
2879338,PG027782
2879380,YF010088
2879492,XR005601
2879657,VX007096
2879845,A0083058
2880314,AI010406
2880659,A0083331
2880660,A0083332
2881285,A0083463
2882026,XI006102
2882256,XJ005326
2882266,A0083785
2882402,DU014031
2882412,RT011853
2882496,GJ021537
2882546,XR005642
2882547,XR005643
2882949,GN018724
2883478,MC017206
2883701,XI006116
2883754,A0084123
2883781,PI022368
2883956,A0084176
2884240,A0084293
2884325,A0084317
2884499,A0084377
2884555,XA007280
2884556,XA007281
2884557,XA007282
2884683,TU035069
2884813,A0084481
2884814,A0084482
2884815,A0084483
2884816,A0084484
2884817,A0084485
2884818,A0084486
2884825,A0084487
2885148,PF021631
2886354,A0084974
2886798,MC017227
2887033,MC017232
2887818,RY011986
2887819,RY011987
2887989,A0085458
2887990,A0085459
2888027,BU007097
2888265,RV008422
2888266,RV008423
2888455,DU014039
2888753,PG027955
2888754,PG027956
2889081,A0085809
2889082,A0085810
2889099,A0085815
2889312,EN014044
2889490,YP013485
2889491,YP013486
2889520,AG008620
2889919,AG008629
2889920,AG008630
2890068,DJ013960
2890180,XJ005367
2890189,XR005703
2890191,XO007373
2890255,BJ008658
2890379,PG028000
2890920,XY007186
2890930,XY007187
2890934,XY007188
2890944,XY007189
2890954,XY007190
2890962,XY007191
2890967,XY007192
2890988,XY007193
2891004,XY007194
2891078,XT003128
2891158,XY007195
2891166,XY007196
2891167,XY007197
2891172,XY007198
2891184,XY007199
2891191,XY007200
2891199,XY007201
2891205,XY007202
2891214,XY007203
2891296,DV017988
2891466,RT011954
2891610,ID019656
2891695,A0086555
2891743,XJ005376
2891972,WP009858
