item_id,manage_number
1594910,EC010286
1641488,PN008685
1695851,ES006622
1698327,TV005601
1762076,DE012255
1769749,NF007049
1800047,PZ019109
1805268,WN003116
1806737,IA014318
1811331,GD012057
1826580,GS012101
1826935,HV008640
1836931,HZ009214
1849775,DU009302
1852158,DE013105
1854754,MC008175
1914990,DU009558
1922530,NP010089
1950078,HN004825
2009996,YW003951
2012556,NF009354
2033422,DV012318
2107633,IA017634
2117997,BV001404
2138919,YB006295
2153490,BZ001220
2157080,HV012366
2160261,PZ022554
2180942,DV013506
2184313,TU023622
2293018,VX001541
2305356,XI001556
2320196,TW007985
2328697,PI020080
2342622,KO011288
2343834,HZ013646
2346857,IW012571
2351677,CS010936
2370129,PZ024677
2406116,FP014448
2420460,TM020948
2488652,BW004455
2502529,VZ003071
2580512,TM022233
2609798,XM002642
2617691,YP010524
2619976,A0020221
2630274,A0021796
2637607,YP010823
2649599,BU005561
2649846,A0024986
2657075,A0026266
2667649,XI004499
2672064,YV008781
2673433,XJ004046
2673727,NP016285
2679945,BI004420
2680353,WB028574
2681232,DJ012696
2690867,XJ004157
2698046,A0035034
2699505,AI008382
2699996,WB028756
2701653,A0035836
2701658,A0035837
2703496,TP011005
2704242,RT010129
2704743,GN017729
2704976,A0036565
2705446,EF016780
2705967,XS003518
2708555,RV007286
2710493,GM014846
2711347,TU032742
2712516,PI021624
2713016,DP004479
2714337,TW010799
2715404,XT002320
2715467,IY014475
2715664,XH005252
2717045,GL012807
2717892,VR003877
2719892,AG007540
2721597,XM003517
2721721,EX013254
2722400,CR022327
2723926,YA009589
2724705,A0041660
2728467,ZZ001396
2729451,A0042786
2729532,EX013279
2731045,IW015649
2731164,A0043111
2731208,WP008779
2731547,A0043191
2732820,RT010384
2732844,YF008792
2732971,ID018399
2734061,HZ015828
2734062,HZ015829
2734629,A0044114
2734944,A0044241
2735087,A0044297
2737605,XS003810
2737714,HV017912
2737739,A0044878
2738344,TM023256
2738536,GJ021047
2738610,A0045084
2739700,A0045290
2739874,BZ006120
2739916,WP008821
2741174,RY010793
2741580,GN017960
2742641,A0045949
2742736,RV007489
2742920,A0046036
2743147,XO005907
2743263,BV006645
2743352,PG025795
2743746,BV006660
2744311,YD010419
2744323,RU008073
2744814,GZ018024
2745455,FU025466
2746402,A0046841
2746411,RU008082
2746729,A0046936
2747516,DV016953
2748120,RZ006312
2748537,ID018527
2749726,A0047705
2750080,YY004219
2750400,VU006437
2751273,RI006881
2751668,A0048178
2751702,A0048183
2751703,A0048184
2751782,AC006382
2752893,A0048487
2753121,A0048588
2753321,OZ015356
2754940,A0049074
2758686,VM005550
2758688,YF009118
2758940,PA019830
2759532,A0050199
2762951,A0051133
2763001,RY010904
2764323,IY014871
2766287,GN018109
2768052,A0052590
2772014,A0053651
2773859,A0054152
2774305,ZZ001510
2775432,A0054757
2779362,XS004055
2783674,XR004784
2784192,XJ004765
2784320,A0057120
2788866,FH022405
2788958,PG026473
2789788,A0058612
2791850,DD019783
2792795,A0059471
2792843,RT010964
2793328,RT010966
2794366,PX013234
2794656,A0059848
2797861,XO006426
2797994,RT011022
2798426,A0060773
2799235,RT011054
2800469,AD009499
2801215,A0061668
2803218,GE016542
2805205,XY006977
2805304,XY006986
2806834,RX008649
2807005,XV004873
2807154,A0063186
2807372,PI022005
2807461,A0063256
2808340,A0063486
2808802,MC016675
2809177,XM004404
2810920,BY006426
2811271,A0064170
2811904,A0064358
2812063,A0064408
2812207,A0064431
2812235,AI009630
2812680,XT002789
2813219,NU024454
2813541,HV018565
2814870,FH022656
2815948,XH006151
2817377,RZ006760
2817513,FN015507
2818402,A0066048
2818881,PG026849
2819889,XY007029
2819965,XY007033
2820163,EF017391
2820582,A0066487
2822508,PG026926
2823410,BW007594
2824496,YE009115
2824517,A0067623
2824731,A0067657
2825116,VX006737
2825118,AX005885
2826316,HV018659
2826501,HZ016289
2827188,DP005388
2827880,CR022819
2827919,TW011655
2828082,XH006272
2829038,TP011382
2830077,A0069093
2830333,YY004839
2832011,AI009838
2832302,AC007154
2832326,XV005049
2832647,BV007372
2832678,XV005051
2832740,BJ008178
2832816,BW007717
2832959,A0069879
2832979,A0069890
2833200,VM006206
2833970,A0070251
2834281,BU006670
2834320,A0070401
2834592,GZ018439
2834609,SU015924
2834681,YZ022559
2834809,PI022127
2834900,IW016702
2835238,PG027134
2835301,TU034292
2835771,A0070852
2836294,A0071006
2836439,PG027178
2836544,HX019325
2836635,WP009459
2837007,YY004921
2837757,XI005740
2837825,DJ013600
2838223,A0071419
2838576,MC016803
2838663,A0071503
2839029,XT002899
2839760,DJ013629
2839955,A0071816
2840039,XR005272
2840041,BZ006831
2840044,TU034373
2840155,XG005099
2840374,XY007119
2840379,XY007120
2840392,XY007121
2840487,MC016812
2840579,YF009867
2840677,FH022962
2840736,RZ006928
2840740,FH022964
2840788,A0072013
2840864,OZ015921
2840999,A0072049
2841091,A0072059
2841101,PO020192
2841226,IU015610
2841239,XA006969
2841250,XG005120
2841258,A0072097
2841394,A0072131
2841582,A0072228
2841749,A0072291
2841761,GN018594
2841772,GN018605
2841882,VR004310
2841929,GM015551
2841947,OU006206
2842074,A0072361
2842142,RV008071
2842219,A0072408
2842220,A0072409
2842418,YY004975
2842494,EX013890
2842565,RT011440
2842929,XH006400
2843078,GE016941
