item_id,manage_number
1599477,SE010816
1649325,JY016448
1649326,JY016449
1712123,IA013394
1727187,DU008834
1752604,WJ002454
1811286,HT004955
1829396,PH015436
1830627,PZ019524
1832111,FH012138
1834131,OZ008223
1835048,CS008187
1835530,TU019985
1835675,IB008882
1835845,OW003964
1836089,TP004997
1836348,YC003281
1840673,SD007667
1847128,NF007817
1848382,IB009008
1908903,RY002198
1969998,PX009420
2052625,RV002793
2058274,HZ011475
2155094,AI003239
2162776,BW001754
2162984,YE005069
2163265,IY010969
2165391,DJ009253
2182396,RY004820
2183629,WB023851
2549371,PG023964
2685676,A0032196
2686260,XM003187
2697101,XP004361
2698693,PX012866
2702618,TW010680
2743339,WU004363
2750344,NP016890
2754222,A0048871
2792794,IW016298
2792896,RT010965
2793591,XM004277
2797298,A0060424
2800334,XO006446
2802056,HX019072
2803682,BY006349
2804953,XO006532
2805314,A0062664
2806345,OU005650
2806919,AG008131
2807159,HV018515
2808279,XB005189
2808805,BI004960
2809842,YC011773
2811644,WP009304
2812343,A0064460
2813144,A0064635
2813874,A0064867
2814192,VU006931
2814545,A0065066
2814654,A0065094
2815072,TU033913
2815129,XA006708
2815718,BI004990
2817676,TW011541
2820185,A0066392
2836136,BY006647
2836258,A0071001
2836259,A0071002
2836516,A0071056
2836519,FP018288
2836632,PI022146
2836703,DV017664
2836704,DV017665
2836736,FU026783
2836749,BJ008228
2836958,A0071131
2837011,XA006912
2837013,XA006914
2837014,XA006915
2837044,ID019204
2837423,A0071232
2837427,XA006916
2837428,XA006917
2837526,XA006919
2837612,YD011071
2837719,YD011072
2837753,FN015673
2837754,FN015674
2837756,FN015676
2838053,EE012485
2838097,A0071389
2838175,A0071417
2838176,RZ006882
2838228,EX013876
2838229,EX013877
2838304,XA006928
2838371,RU008570
2838452,RX008842
2838454,RX008843
2838478,RT011397
2838504,PG027228
2838564,A0071483
2838565,A0071484
2838566,A0071485
2838581,IW016759
2838599,A0071489
2838672,A0071505
2838708,YC011957
2838731,RY011650
2838747,PH018329
2838748,PH018330
2838749,PH018331
2838760,TW011768
2838786,VU006964
2838839,BY006667
2838882,YZ022646
2838971,WP009484
2838972,WP009485
2838973,WP009486
2839028,HX019347
2839070,FP018319
2839135,DJ013613
2839143,AI009867
2839145,PG027232
2839154,YF009842
2839155,YF009843
2839374,NU024578
2839384,GZ018463
2839386,XO006797
2839632,A0071730
2839633,A0071731
2839634,A0071732
2839660,PG027245
2839728,A0071757
2839755,BV007456
2839789,RZ006907
2839883,DU013819
2839884,DU013820
2839917,OU006185
2839932,YF009852
2839962,AI009882
2839965,AI009885
2840056,A0071839
2840076,TW011781
2840289,YF009859
2840331,XH006358
2840418,XI005788
2840441,RY011666
2840477,VU006996
2840515,XV005083
2840526,BV007469
2840527,BV007470
2840550,IY015639
2840607,HZ016349
2840644,AI009895
2840664,A0071988
2840913,XH006369
2841024,PF021520
2841143,AC007228
2841151,AC007230
2841153,XJ005095
2841202,A0072081
2841263,AH007783
2841276,A0072101
2841350,A0072116
2841436,BZ006839
2841469,RV008063
2841548,A0072205
2841590,GN018584
2841599,GJ021391
2841659,A0072256
2841760,GN018593
2841762,GN018595
2841763,GN018596
2842067,A0072355
2842090,VX006900
2842091,VX006901
2842127,A0072379
2842150,NP017636
2842195,A0072402
2842256,FN015698
2842268,A0072423
2842366,A0072468
2842392,A0072478
2842438,VU007023
2842455,EF017573
2842501,FH022985
2842599,A0072553
2842671,RY011691
2842683,A0072581
2842685,A0072583
2842686,A0072584
2842706,A0072589
2842717,VM006260
2842728,RA014160
2842778,FU026804
2842806,A0072608
2842808,EX013891
2842825,CR022873
2842930,XH006401
2842949,A0072663
2843007,XB005454
2843026,RV008084
2843027,RV008085
2843058,A0072685
2843149,A0072715
2843169,A0072718
2843181,HX019366
2843185,RY011705
2843211,VX006912
2843246,YY004984
2843282,NP017645
2843371,MC016861
2843394,RU008599
2843464,A0072795
2843579,ZZ001647
2843609,YP013129
2843806,PG027267
2843807,PG027268
2843851,HZ016358
2843865,XM004632
2843896,A0072871
2843948,TU034414
2844032,XR005337
2844040,BY006683
2844042,BY006685
2844213,FN015723
2844279,A0072956
2844280,A0072957
2844339,HZ016362
2844346,DU013849
2844362,YP013145
2844375,BJ008286
2844406,PX013648
2844455,FU026830
2844476,BU006729
2844496,AC007264
2844640,A0073035
2844641,A0073036
2844682,HX019385
2844716,XJ005107
2844805,A0073075
2844806,A0073076
2844831,HX019387
2844850,DE017213
2844851,DE017214
2844852,DE017215
2844861,A0073094
2844873,RZ006949
2844960,IY015673
2844993,A0073137
2845000,DU013860
2845001,DU013861
2845071,DE017218
2845124,XH006437
2845147,BU006753
2845164,IW016792
2845166,XJ005119
2845220,YF009885
2845245,IW016801
2845246,IW016802
2845247,IW016803
2845248,IW016804
2845255,TW011805
2845256,TW011806
2845257,TW011807
2845308,GL012938
2845309,GL012939
2845372,EX013893
2845449,XW003452
2845484,A0073261
2845623,A0073335
2845624,A0073336
2845743,IW016807
2845744,IW016808
2845814,AI009968
2845950,GM015573
2846155,A0073470
2846261,A0073497
2846274,A0073505
2846301,FN015761
2846375,A0073527
2846393,ID019244
2846409,A0073542
2846541,TW011818
2846577,IY015699
2846589,RV008098
2846649,A0073623
2846650,A0073624
2846651,A0073625
2846653,A0073627
2846721,GM015586
2846723,HV018757
2846738,FH023074
2846739,FH023075
2846901,WB030153
2846930,A0073694
2846936,A0073698
2846942,A0073704
2846943,A0073705
2846944,A0073706
2846946,A0073708
2846969,A0073730
2846979,WB030170
2847003,EE012503
2847054,A0073766
2847156,BY006719
2847158,BY006721
2847159,BY006722
2847223,PO020201
2847232,A0073828
2847239,DD020237
2847279,A0073840
2847578,DU013882
2847596,XP005311
2847633,A0073903
2847634,A0073904
2847797,BI005095
2847798,BI005096
2847947,RY011718
2847969,GG012439
2847970,GG012440
2848001,XA007008
2848002,XA007009
2848010,BW007871
2848034,EN013806
2848036,EN013808
2848125,A0074036
2848183,A0074038
2848251,TU034514
2848413,BJ008324
2848549,A0074171
2848550,A0074172
2848602,YC012000
2848603,YC012001
2848604,YC012002
2848605,YC012003
2848606,YC012004
2848607,YC012005
2848695,YC012006
2848697,YC012008
2848698,YC012009
2848702,YC012013
2848703,YC012014
2848764,RT011520
2848842,WB030174
2848843,WB030175
2848846,WB030176
2848847,WB030177
2848904,WB030195
2848969,WB030210
2848993,DJ013697
2849035,A0074282
2849121,A0074303
2849193,XG005154
2849276,BV007517
2849277,BV007518
2849306,A0074346
2849416,EF017660
2849417,EF017661
2849430,YE009256
2849452,XH006473
2849461,XH006479
2849462,OZ015953
2849463,XH006480
2849483,BI005107
2849665,HX019413
2849695,AI010003
2849701,AD009926
2849784,XR005380
2849805,AW007623
2849806,AW007624
2849807,AW007625
2849833,FN015798
2849834,FN015799
2849948,AW007626
2850033,A0074535
2850101,VM006342
2850102,VM006343
2850103,VM006344
2850104,VM006345
2850127,EE012534
2850150,A0074559
2850158,XA007039
2850163,A0074562
2850234,FH023092
2850254,A0074598
2850306,VO004242
2850307,VO004243
2850308,VO004244
2850362,BJ008353
2850363,BJ008354
2850372,A0074621
2850373,A0074622
2850389,FH023106
2850475,FH023110
2850476,FH023111
2850478,WB030237
2850479,WB030238
2850658,BW007883
2850691,EX013915
2850707,YP013205
2850726,VO004250
2850761,A0074752
2850766,EX013916
2850785,XT002952
2850787,A0074757
2850803,GE016969
2850806,A0074767
2851002,DU013897
2851072,AY005478
2851118,A0074869
2851280,BW007894
2851405,TW011847
2851407,TW011849
2851414,HZ016370
2851463,AC007339
2851464,AC007340
2851512,VR004343
2851565,PG027360
2851593,XR005385
2851640,BJ008374
2851641,BJ008375
2851716,FH023129
2851753,A0075017
2851772,PG027377
2851787,A0075019
2851792,A0075024
2851793,A0075025
2851794,A0075026
2851831,BW007899
2851843,A0075056
2851848,A0075061
2851849,A0075062
2851860,A0075065
2851861,A0075066
2851862,A0075067
2851879,PY021176
2852000,RV008133
2852140,A0075197
2852235,A0075224
2852250,A0075225
2852271,A0075246
2852439,YA010474
2852464,PY021180
2852468,PY021184
2852557,AI010013
2852613,DV017725
2852614,DV017726
2852615,DV017727
2852620,A0075343
2852653,FP018435
2852657,XW003499
2852669,EF017673
2852695,AY005512
2852721,HZ016388
2852813,AW007658
2852948,WB030260
2852986,BU006775
2852990,VU007106
2853042,A0075426
2853118,A0075440
2853139,FH023140
2853196,XW003505
2853212,VM006354
2853319,IY015774
2853366,FU026930
2853389,YV009959
2853390,YV009960
2853396,MC017004
2853397,MC017005
2853455,IW016866
2853456,IW016867
2853457,PG027418
2853576,PG027429
2853630,TU034609
2853647,TW011879
2853648,TW011880
2853659,YD011151
2853707,RI007307
2853824,XT002969
2853825,XT002970
2853826,XT002971
2853917,A0075641
2853965,WB030286
2854004,KJ015256
2854065,A0075701
2854066,A0075702
2854216,A0075809
2854220,A0075813
2854278,A0075853
2854282,A0075857
2854283,A0075858
2854284,A0075859
2854286,A0075861
2854287,A0075862
2854351,FU026944
2854414,XM004732
2854468,AD009957
2854621,TU034630
2854622,TU034631
2854649,A0075959
2854657,IY015787
2854747,A0075983
2854770,WU005040
2854795,EF017711
2854860,A0076003
2854878,EF017712
2854923,A0076020
2854942,DP005567
2854943,DP005568
2854976,FP018447
2855048,XM004741
2855175,A0076097
2855297,DP005582
2855336,YD011183
2855357,CR022956
2855401,A0076136
2855415,EF017717
2855416,EF017718
2855502,WZ085973
2855576,A0076169
2855577,A0076170
2855625,BV007551
2855644,IW016897
2855652,A0076189
2855710,A0076199
2855711,A0076200
2855757,XJ005186
2855786,BJ008427
2855821,RZ007035
2855865,RT011580
2855873,XA007081
2855876,A0076240
2855896,SU016032
2855930,DB016575
2855972,XV005195
2856007,WP009600
2856127,BY006789
2856331,ID019353
2856342,A0076394
