item_id,manage_number
1624425,FA008314
1677255,RZ000260
1677257,RZ000262
1679575,CR013825
1689991,EE006980
1694601,YE001439
1697513,PJ016576
1701030,WB019411
1711471,IW007033
1711778,HD014502
1722333,CI022644
1724239,TP004052
1724653,HX006998
1728663,OZ007118
1729428,SU008465
1731099,YF001476
1731364,EC012031
1735020,NF006702
1735266,PJ016766
1739267,EC012141
1742301,GN010489
1742997,AE000367
1748286,GT014155
1751536,EC012207
1756170,HV007825
1756171,HV007826
1761812,NJ007135
1763884,AI000221
1764754,RV000918
1766359,EC012326
1766938,TM015440
1768553,JD012385
1774410,RV001006
1774777,ES007213
1786063,IB008385
1787727,PD010499
1788287,TM015665
1789628,WB020426
1797231,PF014838
1800607,GT014644
1801932,WN003109
1804545,DD012341
1805562,IA014311
1814174,JD012749
1820436,HT004998
1820787,WB020710
1823704,EX007660
1823750,EX007664
1826606,GJ014249
1829315,GT014985
1830752,PZ019527
1833634,WN003434
1834805,IA014617
1836319,IA014646
1838482,RU001530
1838656,KO009204
1839059,YV002182
1840968,PI016514
1843766,RW001035
1845302,HZ009290
1851535,PZ019822
1927365,IB010246
1984741,ZZ000343
2019737,YD004230
2032182,BV000777
2036596,EX009087
2084560,ZZ000444
2084712,ZZ000451
2094719,AX001843
2095674,KJ013122
2098581,FN010373
2103476,GJ016310
2105115,PX010052
2109196,GE012156
2118250,VP000554
2119371,JY022409
2132178,WN006698
2141716,AW002791
2171319,XP000447
2176132,YA005509
2177524,EF012337
2184685,YB006701
2191499,ZZ000587
2245093,ZZ000647
2327856,ZZ000707
2327870,ZZ000709
2347262,ZZ000743
2389164,ZZ000799
2416496,ZZ000818
2429930,ZZ000878
2430279,ZZ000880
2430330,ZZ000881
2430357,ZZ000882
2469235,WN007185
2469242,WN007192
2470196,OS014613
2514517,EX012305
2542884,RF007680
2589745,WZ084187
2711593,A0038194
2731249,XI004950
2732020,YF008761
2738355,A0045042
2739403,BY005995
2750796,A0047968
2768402,XB004860
2782433,WA010986
2793330,RT010968
2794867,PX013242
2796546,SU015622
2805385,IY015329
2811586,XT002777
2813551,A0064759
2815721,XI005587
2815987,DV017475
2817713,GM015414
2818495,A0066068
2818496,A0066069
2819004,XP005121
2820970,AC006959
2821445,VX006700
2821922,TU034067
2824596,AC007031
2825395,SU015828
2825739,PG026961
2825811,AH007729
2825819,A0067863
2826006,GE016773
2827196,SU015883
2827419,IU015501
2828238,VM006188
2828349,BW007649
2828979,DV017568
2831170,EX013837
2833769,HZ016318
2835275,DV017645
2836031,A0070959
2836626,BY006649
2836699,YD011063
2836700,YD011064
2836985,BZ006821
2837490,ID019208
2837626,EX013872
2837802,IW016735
2837884,FN015684
2838316,A0071429
2838335,IW016748
2838633,A0071498
2838647,XO006769
2839015,PI022171
2839062,XO006788
2839063,XO006789
2839066,XO006792
2839222,IU015586
2839647,PG027243
2840213,AI009889
2840324,YD011088
2840440,A0071917
2840573,YD011094
2840895,XG005113
2840898,XG005116
2841035,XO006819
2841074,XA006964
2841183,EF017554
2841341,FH022979
2841654,GJ021397
2842022,CR022871
2842054,EX013883
2842056,EX013885
2842376,RT011428
2842454,EF017572
2842805,CR022872
2842859,A0072624
2842884,A0072647
2843079,GE016942
2843108,FH023001
2843276,RV008095
2843377,AD009858
2843485,MC016869
2843502,PA020062
2843515,A0072802
2843592,PA020064
2843781,XH006420
2843898,A0072873
2843923,XI005803
2844063,FH023012
2844064,FH023013
2844075,FH023024
2844076,FH023025
2844077,FH023026
2844194,TM023745
2844488,PI022203
2845215,A0073177
2845430,A0073231
2845492,XW003457
2845639,FH023064
2845762,CR022899
2845888,XO006847
2845951,GM015574
2846221,BV007507
2846392,ID019243
2846433,OW007576
2846463,A0073565
2846516,HV018755
2846545,SD015286
2846547,SD015288
2846604,A0073611
2846678,YY005006
2846700,PN010579
2847040,XO006864
2847041,XO006865
2847151,XO006892
2847249,WU004980
2847424,BZ006851
2847550,HT005824
2847586,NP017647
2847614,OU006271
2847619,XV005134
2847958,A0074000
2848053,XH006450
2848094,XH006455
2848281,A0074079
2848284,A0074082
2848285,A0074083
2848317,A0074095
2848551,A0074173
2848577,A0074185
2848578,A0074186
2849376,A0074367
2849392,EF017659
2849710,BJ008346
2849839,XG005165
2849968,VM006339
2850013,FN015811
2850171,A0074570
2850266,A0074601
2850398,GN018633
2850692,A0074721
2850826,A0074776
2850840,TM023772
2851101,FH023113
2851192,RV008119
2851203,SD015336
2851310,WP009528
2851319,XO006913
2851321,XO006915
2851683,HZ016373
2851960,PG027390
2851964,PG027394
2852001,RV008134
2852031,A0075150
2852040,TW011851
2852162,OZ015998
2852510,PY021188
2852595,XW003495
2852608,WP009555
2852719,CR022953
2852973,MC016999
2853114,A0075436
2853136,WB030272
2853270,EF017686
2853271,EF017687
2853272,EF017688
2853303,TW011874
2853484,HX019457
2853777,PZ028579
2853935,AI010035
2854111,WP009584
2854843,GM015630
2854938,BV007537
2854939,BV007538
2854940,BV007539
2855179,AI010046
2855242,A0076111
2855284,YV009978
2855344,XM004744
2855634,YD011185
2855765,WZ086009
2855766,WZ086010
2855767,WZ086011
2855768,WZ086012
2855769,WZ086013
2855770,WZ086014
2855771,WZ086015
2855775,WZ086019
2855862,BJ008434
2856515,XO006976
2856803,DJ013799
2857043,A0076599
2857305,PG027466
2857493,A0076737
2857588,EN013873
2857672,PN010586
2857673,PN010587
2857675,PN010589
2857900,A0076839
2857961,XM004766
2858455,WB030306
2858499,RT011626
2858500,RT011627
2858506,FH023205
2858610,IY015838
2859225,TW011935
2859231,TW011941
2859380,YA010502
2859617,A0077369
2859727,BY006821
2859764,EX013972
2860554,TM023805
2860562,TM023813
2860642,XB005557
2860649,XB005564
2860710,XS004490
2860767,HX019528
2861067,WP009622
2861086,AG008417
2861748,A0077923
2861784,HX019541
2861801,DV017788
2861946,A0077984
2861965,YC012124
2862189,XS004501
2862191,XS004503
2862196,HX019548
2862231,RI007348
2862233,RI007350
2862294,NU024765
2862356,YV010019
2862492,RY011843
2862673,OU006449
2862829,HV018863
2863178,VU007137
2863406,VM006453
2863533,EX013987
