item_id,manage_number
1590454,PZ016087
1598163,IB006341
1602772,SR024313
1620425,IW005974
1639595,KJ011442
1642821,RT000436
1643629,PZ016850
1648936,IB007064
1652682,GJ012309
1655649,IA013017
1658499,YF001097
1666098,GT013263
1666255,RR000520
1667828,EC011168
1670728,CI021855
1685087,TV005355
1689307,FR016188
1698111,ID008517
1712408,SD006367
1714992,YW001473
1722699,PZ017890
1733906,IB007966
1736080,TU018949
1737410,IB008024
1741162,YD001799
1741348,RH001530
1746887,EN006559
1765115,HZ008560
1767077,EC012335
1767438,IA014019
1767958,JG010931
1768731,JD012388
1768983,GD011619
1771411,DB013036
1781421,FA009816
1783760,FA009833
1783831,JY018278
1794624,FA009947
1796034,TL005839
1796111,OZ007827
1797887,GE010025
1802004,ZZ000160
1813685,DU009107
1822624,JD012830
1825542,CI023569
1826989,RR001929
1827311,AG000682
1828455,EL007215
1828800,GE010228
1829747,TL006112
1830151,SU009206
1831131,EX007713
1834734,HU008817
1839184,RR002038
1840670,IB008942
1845288,FH012292
1845586,DU009272
1846115,YZ004474
1846250,UK004401
1849096,WA007580
1851555,IB009033
1987277,AG001877
1992047,RV002356
1996952,PH016143
2092672,WR004429
2099802,IA017568
2149158,TW006376
2177647,YW005041
2180274,TP007884
2180528,VS000637
2180611,PI019385
2181198,UK007639
2181483,XF000208
2182439,SU011608
2182513,YC006124
2182842,FU016939
2183482,GJ016818
2183617,VX000756
2183776,PZ022845
2183863,BJ003264
2186006,RT005335
2186079,IA018193
2186112,VU001613
2186148,BY001776
2186652,FU017015
2211137,HV013041
2385194,XA002798
2462306,XJ002541
2548293,HV016299
2572186,AI007139
2692279,WZ084975
2732774,YY004019
2740593,AX005470
2743116,A0046089
2745855,XI005090
2761321,ES010481
2761432,ES010486
2761436,ES010490
2785455,RX008498
2792607,A0059383
2792657,XM004261
2793493,RT010979
2795276,PX013262
2795277,PX013263
2795278,PX013264
2803871,WU004796
2825406,DU013758
2826513,FH022758
2826516,FH022761
2830763,EN013750
2832159,FH022834
2835005,A0070574
2836223,FH022927
2836376,SD015217
2836674,WZ085908
2836677,WZ085911
2836772,SD015229
2837159,WB030082
2838001,XW003413
2838036,DU013793
2838064,DP005434
2838139,A0071412
2838189,BV007430
2838196,AH007763
2838598,A0071488
2838676,RT011402
2838842,A0071521
2838897,BJ008255
2838904,A0071555
2838965,YF009841
2839004,A0071586
2839118,A0071610
2839173,IW016774
