item_id,manage_number
100000,CA001433
100000,CA001501
100000,CA001710
100000,CA001862
100000,CA002664
100000,CA003702
100000,CA003802
100000,CA004239
100000,CB000333
100000,CB001064
100000,CB002254
100000,CB002522
100000,CB002692
100000,CB002693
100000,CB002886
100000,CB002893
100000,CB002894
100000,CB002918
100000,CB003038
100000,CB003622
100000,CB003729
100000,CB004585
100000,CB005452
100000,CB005539
100000,CB006013
100000,CC001841
100000,CC001978
100000,CC004159
100000,CC004899
100000,CC005004
100000,CC006821
100000,CD001699
100000,CE000865
100000,CE001032
100000,CE001224
100000,CE001535
100000,CE002144
100000,CR003935
100000,CT000663
100000,DA002517
100000,DB000200
100000,DB000462
100000,DB002822
100000,DB004353
100000,DB005067
100000,DC003325
100000,DC003380
100000,DD004614
100000,DD006085
100000,DG000177
100000,DJ002401
100000,DJ002638
100000,DR001414
100000,DT004223
100000,DT004376
100000,DT004377
100000,DU001850
100000,EC002709
100000,EC002994
100000,FA002110
100000,FA004377
100000,FA004378
100000,FN000407
100000,FN000459
100000,FN000798
100000,FN001002
100000,FR010117
100000,GB000492
100000,GB001425
100000,GC000969
100000,GC003878
100000,GD001991
100000,GD005912
100000,GE004759
100000,GE004806
100000,GF001149
100000,GG001357
100000,GG002504
100000,GG004225
100000,GG004227
100000,GG004228
100000,GG004231
100000,GJ000298
100000,GJ000407
100000,GL000857
100000,GL000860
100000,GL002742
100000,GM001437
100000,GM001530
100000,GN000014
100000,GN000651
100000,GN002005
100000,GN002975
100000,GN003829
100000,GS001133
100000,GT004310
100000,GT004311
100000,GT004312
100000,GT004765
100000,GT005128
100000,GU000355
100000,GZ003664
100000,GZ005460
100000,GZ005463
100000,HD002469
100000,HD003700
100000,HD004169
100000,HD009566
100000,HD010287
100000,HK007695
100000,HT001564
100000,HT002112
100000,IA003116
100000,IA003791
100000,ID000091
100000,IK005322
100000,IW009867
100000,JC002625
100000,JD000636
100000,JD000637
100000,JE000893
100000,JE001039
100000,JE002515
100000,JE003802
100000,KJ002036
100000,LA000509
100000,LM000486
100000,LM000953
100000,LS000705
100000,LZ000007
100000,MA000143
100000,MA000353
100000,MY004243
100000,NG000106
100000,NG000474
100000,NH003686
100000,NH003803
100000,NH004049
100000,NH004279
100000,NH004282
100000,NH004325
100000,NH004326
100000,NN003974
100000,NP000115
100000,NR006416
100000,NR006594
100000,NU003156
100000,NU003697
100000,NU003698
100000,NU004477
100000,NU004618
100000,NU005156
100000,NU005338
100000,NU005430
100000,NU005740
100000,NU005741
100000,NU006026
100000,NU006027
100000,NU006165
100000,NU006167
100000,NU006313
100000,OD000763
100000,OI003290
100000,OI003338
100000,OI003339
100000,OI003340
100000,OS003926
100000,PC002272
100000,PC005375
100000,PC008173
100000,PC008378
100000,PC008400
100000,PD008574
100000,PE001655
100000,PF001315
100000,PF006361
100000,PG001424
100000,PG001786
100000,PG002450
100000,PG003836
100000,PG003837
100000,PG007168
100000,PG008924
100000,PH001322
100000,PI001570
100000,PI003076
100000,PI003512
100000,PI003843
100000,PI008363
100000,PJ008159
100000,PJ010050
100000,PK002495
100000,PK002757
100000,PK004179
100000,PK004440
100000,PK007943
100000,PK007944
100000,PK008582
100000,PM002097
100000,PN000958
100000,PN001523
100000,PN002350
100000,PN002519
100000,PN002672
100000,PN002714
100000,PN007100
100000,PN007808
100000,PN007848
100000,PO001173
100000,PO005500
100000,PP001768
100000,PP002085
100000,PP002358
100000,PP002706
100000,PP002707
100000,PP003247
100000,PR004176
100000,PR008764
100000,PX001948
100000,PX002465
100000,PX003214
100000,PX005023
100000,PX005024
100000,PX005025
100000,PX005026
100000,PX005212
100000,PY000180
100000,PY001682
100000,PY001851
100000,PY002312
100000,PY003061
100000,PY004341
100000,PZ001997
100000,PZ002720
100000,PZ004792
100000,RA003965
100000,RA005185
100000,RF008463
100000,SE001499
100000,SE001987
100000,SE002058
100000,SE002148
100000,SE002309
100000,SE002802
100000,SE002973
100000,SE003837
100000,SE004270
100000,SE004360
100000,SE004767
100000,SE005594
100000,SE005595
100000,SE005650
100000,SE005810
100000,SE005967
100000,SE005968
100000,SE006162
100000,SE007034
100000,SE007091
100000,SU003290
100000,TB001116
100000,TB003026
100000,TB003279
100000,TB004603
100000,TD001633
100000,TD002309
100000,TD003469
100000,TD004011
100000,TD005143
100000,TD005154
100000,TD005321
100000,TD005677
100000,TL000617
100000,TO003977
100000,TO004127
100000,TO004219
100000,TO004657
100000,TO004673
100000,TO004675
100000,TO004762
100000,TO004970
100000,TO005432
100000,TO005771
100000,TO005938
100000,TO005939
100000,TO006187
100000,TO006464
100000,TO006473
100000,TO006495
100000,TO006496
100000,TO006502
100000,TO006510
100000,TO006602
100000,TO006603
100000,TO006628
100000,TO006699
100000,TO006722
100000,TO007064
100000,TO007270
100000,TO007403
100000,TO007994
100000,TO008004
100000,TO008297
100000,TO008299
100000,TO008300
100000,TO008301
100000,TO008336
100000,TO008569
100000,TO008582
100000,TO009026
100000,TO009794
100000,TO009795
100000,TO010240
